fid,rgi_id,o1region,o2region,glims_id,anlys_id,subm_id,src_date,cenlon,cenlat,utm_zone,area_km2,primeclass,conn_lvl,surge_type,term_type,glac_name,is_rgi6,termlon,termlat,zmin_m,zmax_m,zmed_m,zmean_m,slope_deg,aspect_deg,aspect_sec,dem_source,lmax_m
"17",RGI2000-v7.0-G-01-00017,"01",01-01,G205070E67419N,"392973","624",2008-09-02T00:00:00,-154.920505607353,67.4225275,"5",2.2378267239355,"0","0","0","9",,"1",-154.902067868292,67.4354449380098,1105.7632,1750.3219,1435.4122,1397.4214,16.895538,58.27825,"2",COPDEM30,"3577"
"208",RGI2000-v7.0-G-01-00208,"01",01-01,G214994E69099N,"1011924","810",2007-08-28T00:00:00,-145.01043175,69.099216,"6",2.08844884714235,"0","0","0","9",,"0",-145.012272294857,69.0867859248945,1604.7262,2363.7266,1906.9263,1921.5667,15.429429,283.844398498535,"7",COPDEM30,"3155"
"210",RGI2000-v7.0-G-01-00210,"01",01-01,G215048E69093N,"1011937","810",2007-08-28T00:00:00,-144.952503825203,69.094514,"6",2.16509391781673,"0","0","0","9",,"0",-144.924094506343,69.1082960924848,1584.1926,2260.8123,1855.1606,1879.6683,14.575961,19.973219,"1",COPDEM30,"3959"
"219",RGI2000-v7.0-G-01-00219,"01",01-01,G215016E69154N,"1011933","810",2007-08-28T00:00:00,-144.96469347916,69.1513975,"6",2.35246130626048,"0","0","0","9",,"0",-145.018379074805,69.1615614936861,1566.6405,2416.5168,1905.1174,1916.9846,21.021723,324.771541595459,"8",COPDEM30,"3364"
"228",RGI2000-v7.0-G-01-00228,"01",01-01,G215140E69191N,"1011976","810",2007-08-28T00:00:00,-144.868956341768,69.191064,"6",3.27067379545509,"0","0","0","9",Pangnik Glacier,"0",-144.813270475013,69.2023817241601,1626.8871,2585.5142,1887.0787,1905.0465,15.461051,30.394135,"2",COPDEM30,"4734"
"230",RGI2000-v7.0-G-01-00230,"01",01-01,G215108E69203N,"1011967","810",2007-08-28T00:00:00,-144.898040080538,69.202697,"6",2.38921609570907,"0","0","0","9",,"0",-144.845572190509,69.211460525814,1603.8837,2439.5967,1968.6815,1999.4938,18.25895,11.753082,"1",COPDEM30,"3762"
"290",RGI2000-v7.0-G-01-00290,"01",01-01,G214952E69129N,"1011922","810",2007-08-28T00:00:00,-145.035141158622,69.1254875,"6",6.85623160033139,"0","0","0","9",,"0",-145.043279505918,69.1473790445683,1369.6793,2494.3198,1884.5615,1899.3794,19.986403,323.33374786377,"8",COPDEM30,"5611"
"298",RGI2000-v7.0-G-01-00298,"01",01-01,G215079E69071N,"1011958","810",2007-08-28T00:00:00,-144.908065639667,69.072223,"6",2.99610505126737,"0","0","0","9",,"0",-144.879103315103,69.0797701934261,1527.0786,2480.7446,1873.4319,1890.9467,18.088486,25.64441,"2",COPDEM30,"3712"
"315",RGI2000-v7.0-G-01-00315,"01",01-01,G215749E69242N,"1012039","810",2007-08-28T00:00:00,-144.247493156545,69.24164,"6",3.39569006433622,"0","0","0","9",,"0",-144.308848111752,69.2539361093662,1383.5367,2444.6067,1890.2705,1880.0573,15.147538,319.818439483643,"8",COPDEM30,"5009"
"323",RGI2000-v7.0-G-01-00323,"01",01-01,G215764E69271N,"1012048","810",2000-07-15T00:00:00,-144.229560845264,69.2732335,"6",3.74367587782252,"0","0","0","9",,"0",-144.310569585615,69.2653059683186,1458.9747,2284.9436,1944.7302,1923.6674,15.505752,326.832145690918,"8",COPDEM30,"5193"
